index,delicious,dinner,cooking,meal,togetherness,lunch,boy,meat,nutrition,son,vegetable,baby,farm,home,agriculture,grow,fruit,plate,countryside,dish,pasture,healthy,sweet,traditional,joy
California Pizza Kitchen,6,0,10,0,0,0,0,0,8,0,9,0,0,0,0,4,2,0,0,0,0,7,0,0,0
Hamburger Helper,5,8,9,10,0,7,0,1,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0
Activia,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,6,9,0,0,0,5,8,0,0,0
Food Lion,10,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Stop  Shop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature Made,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,6,0,10,9,0,0,0
Hormel,3,7,0,8,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Corral,4,8,2,10,0,7,0,9,0,0,3,0,0,0,0,0,0,6,0,5,0,0,0,0,0
InNOut,6,9,3,10,0,7,0,5,0,0,2,0,0,0,0,0,0,8,0,4,0,0,0,0,0
Carls Jr,4,7,0,8,0,6,0,10,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0
Longhorn Steakhouse,0,0,0,0,3,0,0,0,0,0,0,0,9,0,6,0,0,0,8,0,0,0,0,0,0
Pepperidge Farm,1,0,2,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,5,0,0,0,0,0,0
Five Guys,0,9,0,8,0,7,0,10,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Jamba Juice,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,10,0,0,0,0,8,3,0,0
Hardees,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
